ссылка,комнаты,площадь,этаж,цена в месяц,залог,комиссия,ЖКУ и счетчики,адрес,станция метро,шаговая доступность,ссылка на агенство,агенство,количество завершенных сделок ,реквизиты статус
https://www.avito.ru/moskva/kvartiry/2-k._kvartira_51_m_217_et._3711888493,2-к. квартира,51 м²,2/17 эт.,85 000  , 85 000 ,0%,ЖКУ включены без счетчиков,"Рублёвское ш., 34к1",Молодёжная,11–15 мин.,,,,
https://www.avito.ru/moskva/kvartiry/3-k._kvartira_76_m_1717_et._3511436509,3-к. квартира,76 м²,17/17 эт.,85 000  , 85 000 ,0%,ЖКУ включены без счетчиков,"ул. Авиаторов, 30",Солнцево,16–20 мин.,,,,
https://www.avito.ru/moskva/kvartiry/3-k._kvartira_94_m_1724_et._2635421767,3-к. квартира,94 м²,17/24 эт.,181 000  , 181 000 ,0%,ЖКУ включены без счетчиков,"Шелепихинская наб., 34к4",Шелепиха,16–20 мин.,https://www.avito.ru/user/da6621d39625b7031ea32e9b7c9058f4/profile?src=search_seller_info,ДОМ.РФ,2356,Реквизиты проверены
https://www.avito.ru/moskva/kvartiry/2-k._kvartira_489_m_69_et._3924489414,2-к. квартира,"48,9 м²",6/9 эт.,65 000  , 32 500 , 53%,ЖКУ включены без счетчиков,"Нагатинская наб., 34",Коломенская,6–10 мин.,https://www.avito.ru/user/b941150141f770da7c8f04e7ae0239fe/profile?src=search_seller_info,КБМ,191,Реквизиты проверены
https://www.avito.ru/moskva/kvartiry/3-k._kvartira_61_m_2133_et._4009822277,3-к. квартира,61 м²,21/33 эт.,79 990  , 79 990 ,0%,ЖКУ 5 000 ₽ + счетчики,"Лобненская ул., 13к3",Яхромская,16–20 мин.,,,,
https://www.avito.ru/moskva/kvartiry/kvartira-studiya_24_m_1324_et._2987250978,Квартира-студия,24 м²,13/24 эт.,71 000  , 71 000 ,0%,ЖКУ включены без счетчиков,"Шелепихинская наб., 34к4",Шелепиха,16–20 мин.,https://www.avito.ru/user/da6621d39625b7031ea32e9b7c9058f4/profile?src=search_seller_info,ДОМ.РФ,2356,Реквизиты проверены
https://www.avito.ru/moskva/kvartiry/3-k._kvartira_80_m_1640_et._4258009151,3-к. квартира,80 м²,16/40 эт.,180 000  , 90 000 ,0%,Все ЖКУ включены,"Хорошёвское ш., 12к1",Беговая,до 5 мин.,https://www.avito.ru/user/2120e63f77888b44b5039e3800318dc6/profile?src=search_seller_info,Realty Design Development,11,Документы проверены
https://www.avito.ru/moskva/kvartiry/3-k._kvartira_100_m_34_et._534761901,3-к. квартира,100 м²,3/4 эт.,130 000  , 130 000 ,0%,ЖКУ включены без счетчиков,"Тихвинский пер., 9с1",Менделеевская,6–10 мин.,,,,
https://www.avito.ru/moskva/kvartiry/5-k._kvartira_178_m_66_et._3986288556,5-к. квартира,178 м²,6/6 эт.,300 000  ,300 000 ,0%,ЖКУ включены без счетчиков,"ул. Жуковского, 9",,6–10 мин.,https://www.avito.ru/user/6bb9c5e623ff8d9567e1da6e18d5e4e6/profile?src=search_seller_info,1 день назад,IntermarkLettings,Онлайн-показ
https://www.avito.ru/moskva/kvartiry/2-k._kvartira_50_m_622_et._3567918269,2-к. квартира,50 м²,6/22 эт.,100 000  ,100 000 ,0%,ЖКУ 3 500 ₽ + счетчики,"Автозаводская ул., 23Бк2",,до 5 мин.,https://www.avito.ru/user/a671b6110920d4bcf4add4e65dad1eec/profile?src=search_seller_info,5 дней назад,Сергей,
https://www.avito.ru/moskva/kvartiry/4-k._kvartira_173_m_1016_et._2366791946,4-к. квартира,173 м²,10/16 эт.,550 000  , 550 000 ,0%,ЖКУ включены без счетчиков,"ул. Новый Арбат, 27",Смоленская,6–10 мин.,https://www.avito.ru/user/426fe2c9c4a24ce281190a0c4af63287/profile?src=search_seller_info,Apple Real Estate,8672,Реквизиты проверены
https://www.avito.ru/moskva/kvartiry/4-k._kvartira_110_m_44_et._2525862635,4-к. квартира,110 м²,4/4 эт.,300 000  , 600 000 ,0%,ЖКУ включены без счетчиков,"Малая Бронная ул., 10с1",Тверская,6–10 мин.,https://www.avito.ru/user/426fe2c9c4a24ce281190a0c4af63287/profile?src=search_seller_info,Apple Real Estate,8672,Реквизиты проверены
https://www.avito.ru/moskva/kvartiry/3-k._kvartira_80_m_59_et._1790871398,3-к. квартира,80 м²,5/9 эт.,180 000  , 180 000 ,0%,ЖКУ включены без счетчиков,"Кутузовский пр-т, 14",Выставочная,11–15 мин.,https://www.avito.ru/user/426fe2c9c4a24ce281190a0c4af63287/profile?src=search_seller_info,Apple Real Estate,8672,Реквизиты проверены
https://www.avito.ru/moskva/kvartiry/kvartira-studiya_17_m_48_et._3690253206,Квартира-студия,17 м²,4/8 эт.,60 000  ,60 000 ,0%,ЖКУ включены без счетчиков,"Электрозаводская ул., 14с1",,6–10 мин.,,5 часов назад,,Онлайн-показ
https://www.avito.ru/moskva/kvartiry/2-k._kvartira_36_m_1133_et._3960565617,2-к. квартира,36 м²,11/33 эт.,72 000  ,72 000 ,0%,ЖКУ включены без счетчиков,"Новохохловская ул., 15к2","Новохохловская ул., 15к2",6–10 мин.,,6 часов назад,,
https://www.avito.ru/moskva/kvartiry/1-k._kvartira_53_m_820_et._3910519960,1-к. квартира,53 м²,8/20 эт.,110 000  , 110 000 ,0%,ЖКУ включены без счетчиков,"ул. Архитектора Щусева, 3",ЗИЛ,11–15 мин.,https://www.avito.ru/user/9e0de542b88e9089a78e661b340cb475/profile?src=search_seller_info,Сергей,2,Документы проверены
https://www.avito.ru/moskva/kvartiry/2-k._kvartira_565_m_830_et._2593400689,2-к. квартира,"56,5 м²",8/30 эт.,100 000  ,,,,Залог 100 000 ₽ · Без комиссии · ЖКУ 1 ₽ + счетчики,"Волгоградский пр-т, 32/3к2",до 5 мин.,,6 дней назад,,
https://www.avito.ru/moskva/kvartiry/4-k._kvartira_159_m_49_et._3761630521,4-к. квартира,159 м²,4/9 эт.,220 000  ,,,,Залог 220 000 ₽ · Без комиссии · ЖКУ включены без счетчиков,"ул. Знаменка, 13с1",до 5 мин.,https://www.avito.ru/user/6bb9c5e623ff8d9567e1da6e18d5e4e6/profile?src=search_seller_info,5 дней назад,IntermarkLettings,Онлайн-показ
https://www.avito.ru/moskva/kvartiry/1-k._kvartira_328_m_19_et._3884348436,1-к. квартира,"32,8 м²",1/9 эт.,60 000  ,,,,Залог 60 000 ₽ · Без комиссии · ЖКУ включены без счетчиков,"Днепропетровская ул., 29",16–20 мин.,https://www.avito.ru/user/d236697f65ec25cf42db7e8350f89dd1/profile?src=search_seller_info,5 часов назад,Colife - жилье в аренду,Онлайн-показ
https://www.avito.ru/moskva/kvartiry/3-k._kvartira_124_m_27_et._4258381554,3-к. квартира,124 м²,2/7 эт.,230 000  , 230 000 ,0%,Все ЖКУ включены,"Большой Сергиевский пер., 5",Трубная,6–10 мин.,,,,
https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_393_m_55_et._3804036959,Апартаменты-студия,"39,3 м²",5/5 эт.,85 000  , 85 000 , 45%,ЖКУ включены без счетчиков,"Хорошёвское ш., 38с5",Беговая,6–10 мин.,https://www.avito.ru/user/7859c4b888ed9a0cc01fe2913c06882b/profile?src=search_seller_info,Александр,364,Реквизиты проверены
https://www.avito.ru/moskva/kvartiry/1-k._kvartira_12_m_112_et._2483983513,1-к. квартира,12 м²,1/12 эт.,42 000  , 21 000 ,0%,Счетчики включены ,"Тихорецкий б-р, 6",Люблино,11–15 мин.,,,,
https://www.avito.ru/moskva/kvartiry/2-k._kvartira_86_m_1314_et._3876639515,2-к. квартира,86 м²,13/14 эт.,83 000  , 41 500 ,0%,Все ЖКУ включены,"Профсоюзная ул., 45к1",Новые Черёмушки,до 5 мин.,,,,
https://www.avito.ru/moskva/kvartiry/3-k._kvartira_111_m_25_et._1912982302,3-к. квартира,111 м²,2/5 эт.,160 000  , 160 000 ,0%,ЖКУ включены без счетчиков,"Осенняя ул., 25к1",Крылатское,16–20 мин.,,,,
https://www.avito.ru/moskva/kvartiry/1-k._kvartira_35_m_412_et._2564387566,1-к. квартира,35 м²,4/12 эт.,60 000  , 60 000 ,0%,ЖКУ включены без счетчиков,"ул. Твардовского, 5к1",Строгино,16–20 мин.,https://www.avito.ru/user/2bb71f65157b37b24822f2da4f6753aa/profile?src=search_seller_info,Алиса,28,Документы проверены
https://www.avito.ru/moskva/kvartiry/2-k._kvartira_58_m_316_et._3803833089,2-к. квартира,58 м²,3/16 эт.,60 000  , 60 000 , 50%,ЖКУ включены без счетчиков,"ул. Коминтерна, 10к1",Бабушкинская,16–20 мин.,https://www.avito.ru/user/7859c4b888ed9a0cc01fe2913c06882b/profile?src=search_seller_info,Александр,364,Реквизиты проверены
https://www.avito.ru/moskva/kvartiry/2-k._kvartira_55_m_1214_et._3805840293,2-к. квартира,55 м²,12/14 эт.,70 000  , 70 000 , 25%,ЖКУ включены без счетчиков,"Полковая ул., 16",Марьина Роща,11–15 мин.,,,,
https://www.avito.ru/moskva/kvartiry/2-k._kvartira_40_m_26_et._4043710022,2-к. квартира,40 м²,2/6 эт.,100 000  , 100 000 ,0%,ЖКУ включены без счетчиков,"Береговой пр., 3",Фили,16–20 мин.,https://www.avito.ru/user/d0a14e0c8c3948c609a53da3bc810256/profile?src=search_seller_info,Премиум Сервис,3968,Реквизиты проверены
https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_12_m_321_et._2160910047,Апартаменты-студия,12 м²,3/21 эт.,32 990  , 32 990 , 50%,Все ЖКУ включены,"Востряковское ш., 7с3",Озёрная,16–20 мин.,https://www.avito.ru/user/c7d5332a9895d4c4846d166bbb7f9841/profile?src=search_seller_info,InHome,1360,Реквизиты проверены
https://www.avito.ru/moskva/kvartiry/1-k._kvartira_52_m_2340_et._2593959392,1-к. квартира,52 м²,23/40 эт.,135 000  , 67 500 ,0%,ЖКУ включены без счетчиков,"Хорошёвское ш., 12к1",Беговая,до 5 мин.,https://www.avito.ru/user/2120e63f77888b44b5039e3800318dc6/profile?src=search_seller_info,Realty Design Development,11,Документы проверены
https://www.avito.ru/moskva/kvartiry/3-k._kvartira_75_m_825_et._4178015225,3-к. квартира,75 м²,8/25 эт.,95 000  , 95 000 ,100%,ЖКУ включены без счетчиков,"Митинская ул., 53",Пятницкое шоссе,до 5 мин.,,,,
https://www.avito.ru/moskva/kvartiry/kvartira-studiya_17_m_89_et._4145956781,Квартира-студия,17 м²,8/9 эт.,45 000  , 45 000 ,0%,ЖКУ 2 000 ₽ + счетчики,"Рязанский пр-т, 86/1с1",Юго-Восточная,11–15 мин.,https://www.avito.ru/user/25c1559e43b03a58c6681ef2f66cc7e8/profile?src=search_seller_info,ALEKSANDR ATABAEV,15,Документы проверены
https://www.avito.ru/moskva/kvartiry/kvartira-studiya_21_m_722_et._2193669820,Квартира-студия,21 м²,7/22 эт.,41 990  , 41 990 , 50%,ЖКУ 2 000 ₽ + счетчики,"Бибиревская ул., 4А",Бибирево,6–10 мин.,https://www.avito.ru/user/c7d5332a9895d4c4846d166bbb7f9841/profile?src=search_seller_info,InHome,1360,Реквизиты проверены
https://www.avito.ru/moskva/kvartiry/2-k._kvartira_48_m_112_et._2220225756,2-к. квартира,48 м²,1/12 эт.,60 000  , 60 000 ,0%,Все ЖКУ включены,"Малая Филёвская ул., 30",Пионерская,6–10 мин.,,,,
https://www.avito.ru/moskva/kvartiry/2-k._kvartira_45_m_25_et._3886567609,2-к. квартира,45 м²,2/5 эт.,50 000  , 50 000 , 50%,ЖКУ 5 000 ₽ + счетчики,"Астрадамская ул., 1к2",Дмитровская,16–20 мин.,https://www.avito.ru/user/373628e4ff4f4c373ce308f030a67dc5/profile?src=search_seller_info,Квадраты Москвы,5703,Документы проверены
https://www.avito.ru/moskva/kvartiry/2-k._kvartira_45_m_45_et._3907967411,2-к. квартира,45 м²,4/5 эт.,55 000  , 55 000 ,0%,ЖКУ 3 500 ₽ + счетчики,"ул. Менжинского, 10",Бабушкинская,11–15 мин.,,,,
https://www.avito.ru/moskva/kvartiry/1-k._kvartira_38_m_1214_et._3973847442,1-к. квартира,38 м²,12/14 эт.,45 000  ,,,,Залог 45 000 ₽ · Без комиссии · ЖКУ включены без счетчиков,"ул. Верхние Поля, 35к2",6–10 мин.,,21 час назад,,
https://www.avito.ru/moskva/kvartiry/kvartira-studiya_25_m_1118_et._3799588968,Квартира-студия,25 м²,11/18 эт.,37 000  , 37 000 , 50%,ЖКУ включены без счетчиков,"пос. Коммунарка, ул. Александры Монаховой, 84к4",Коммунарка,от 31 мин.,https://www.avito.ru/user/6f7568701ec9337dd637065e09b7a33c/profile?src=search_seller_info,Виталий Риэлтор,1094,Реквизиты проверены
https://www.avito.ru/moskva/kvartiry/2-k._kvartira_44_m_48_et._3494028938,2-к. квартира,44 м²,4/8 эт.,140 000  , 140 000 ,0%,Все ЖКУ включены,"пер. Огородная Слобода, 10",Чистые пруды,до 5 мин.,https://www.avito.ru/user/9b5df5bd7c8ed5388ec175d213ec6996/profile?src=search_seller_info,ИП Марков Виталий,7,Реквизиты проверены
https://www.avito.ru/moskva/kvartiry/1-k._kvartira_42_m_414_et._3292226474,1-к. квартира,42 м²,4/14 эт.,48 000  , 48 000 ,0%,ЖКУ включены без счетчиков,"ул. Перерва, 26к1",Марьино,11–15 мин.,,,,
https://www.avito.ru/moskva/kvartiry/kvartira-studiya_31_m_2122_et._4009886812,Квартира-студия,31 м²,21/22 эт.,37 000  ,,,,Залог 37 000 ₽ · Без комиссии · ЖКУ включены без счетчиков,"рп. Новоивановское, б-р Эйнштейна, 1",,,4 часа назад,,
https://www.avito.ru/moskva/kvartiry/1-k._kvartira_40_m_1231_et._3669472635,1-к. квартира,40 м²,12/31 эт.,75 000  ,,,,Залог 75 000 ₽ · Без комиссии · ЖКУ включены без счетчиков,"Береговой пр., 5к1",16–20 мин.,,1 день назад,,
https://www.avito.ru/moskva/kvartiry/1-k._kvartira_376_m_712_et._3423346247,1-к. квартира,"37,6 м²",7/12 эт.,65 000  ,,,,Залог 32 500 ₽ · Без комиссии · ЖКУ включены без счетчиков,"ул. Мнёвники, 23",6–10 мин.,,5 часов назад,,
https://www.avito.ru/moskva/kvartiry/1-k._kvartira_38_m_916_et._2126937511,1-к. квартира,38 м²,9/16 эт.,40 000  , 40 000 , 65%,ЖКУ включены без счетчиков,"Кировоградская ул., 20к2",Южная,6–10 мин.,https://www.avito.ru/user/59262ab2b01771b18f32b10c9d58c8b5/profile?src=search_seller_info,Компания,179,Реквизиты проверены
https://www.avito.ru/moskva/kvartiry/1-k._kvartira_35_m_39_et._3837679709,1-к. квартира,35 м²,3/9 эт.,55 000  , 55 000 ,0%,ЖКУ включены без счетчиков,"Дмитровский пр., 14",Дмитровская,11–15 мин.,,,,
https://www.avito.ru/moskva/kvartiry/kvartira-studiya_20_m_3539_et._4290214674,Квартира-студия,20 м²,35/39 эт.,60 000  , 60 000 ,0%,ЖКУ 0 ₽ + счетчики,"Амурская ул., 1Ак5",Локомотив,11–15 мин.,,,,
https://www.avito.ru/moskva/kvartiry/1-k._kvartira_311_m_212_et._3688627321,1-к. квартира,"31,1 м²",2/12 эт.,35 000  , 35 000 ,100%,ЖКУ включены без счетчиков,"ул. Академика Янгеля, 8",Улица академика Янгеля,6–10 мин.,https://www.avito.ru/user/752d9da9de44fbee823ca522da52258a/profile?src=search_seller_info,Макспол Недвижимость,9413,Реквизиты проверены
https://www.avito.ru/moskva/kvartiry/2-k._kvartira_46_m_314_et._4178091549,2-к. квартира,46 м²,3/14 эт.,40 000  , 40 000 ,100%,ЖКУ включены без счетчиков,"Малахитовая ул., 10к2",Ростокино,16–20 мин.,,,,
https://www.avito.ru/moskva/kvartiry/1-k._kvartira_42_m_1725_et._3847568841,1-к. квартира,42 м²,17/25 эт.,45 000  , 45 000 ,0%,ЖКУ 3 500 ₽ + счетчики,"Муравская ул., 42к2",Пятницкое шоссе,16–20 мин.,,,,
https://www.avito.ru/moskva/kvartiry/3-k._kvartira_65_m_1416_et._1220000957,3-к. квартира,65 м²,14/16 эт.,65 000  , 65 000 ,0%,Все ЖКУ включены,"ул. Обручева, 65/54",Зюзино,11–15 мин.,,,,
https://www.avito.ru/moskva/kvartiry/2-k._kvartira_526_m_417_et._2650295226,2-к. квартира,"52,6 м²",4/17 эт.,45 000  , 45 000 , 50%,ЖКУ включены без счетчиков,"ул. Александры Монаховой, 89к1",Коммунарка,21–30 мин.,,,,
https://www.avito.ru/moskva/kvartiry/1-k._kvartira_35_m_1212_et._3701343518,1-к. квартира,35 м²,12/12 эт.,40 000  , 40 000 ,0%,ЖКУ включены без счетчиков,"ул. Подольских Курсантов, 2к1",Пражская,6–10 мин.,,,,
https://www.avito.ru/moskva/kvartiry/kvartira-studiya_16_m_23_et._3536567849,Квартира-студия,16 м²,2/3 эт.,23 000  ,,,,Без залога · Без комиссии · Все ЖКУ включены,"Липкинское ш., 7В",от 31 мин.,,2 часа назад,,Только на Авито
https://www.avito.ru/moskva/kvartiry/1-k._kvartira_33_m_58_et._3907771943,1-к. квартира,33 м²,5/8 эт.,61 000  , 61 000 ,0%,ЖКУ включены без счетчиков,"Нагатинская ул., 30",Коломенская,до 5 мин.,,,,
https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_264_m_14_et._3082437786,Апартаменты-студия,"26,4 м²",1/4 эт.,80 000  , 80 000 ,0%,Все ЖКУ включены,"Садовническая ул., 66",Новокузнецкая,11–15 мин.,https://www.avito.ru/user/866eda73edfeda866717b689c1b559fa/profile?src=search_seller_info,Светлана,50,Документы проверены
https://www.avito.ru/moskva/kvartiry/kvartira-studiya_21_m_25_et._2619367602,Квартира-студия,21 м²,2/5 эт.,50 000  , 50 000 ,0%,ЖКУ включены без счетчиков,"Ботаническая ул., 41к7",Владыкино,6–10 мин.,,,,
https://www.avito.ru/moskva/kvartiry/2-k._kvartira_449_m_19_et._3907790262,2-к. квартира,"44,9 м²",1/9 эт.,45 000  , 45 000 ,0%,ЖКУ 4 500 ₽ + счетчики,"Юрловский пр., 19",Отрадное,16–20 мин.,,,,
https://www.avito.ru/moskva/kvartiry/1-k._kvartira_33_m_69_et._1988541590,1-к. квартира,33 м²,6/9 эт.,105 000  , 52 500 ,0%,ЖКУ включены без счетчиков,"Верхняя ул., 1",Белорусская,6–10 мин.,https://www.avito.ru/user/6d3950a99f8c9a2d9be41672484fb7e1/profile?src=search_seller_info,"Аренда квартир ""Кварт-Отель""",183,Реквизиты проверены
https://www.avito.ru/moskva/kvartiry/2-k._kvartira_455_m_35_et._3803861119,2-к. квартира,"45,5 м²",3/5 эт.,40 000  , 20 000 ,100%,ЖКУ включены без счетчиков,"Черноморский б-р, 13к2",Чертановская,6–10 мин.,https://www.avito.ru/user/710f0266f1aeed3ca4ce7bc80806c83c/profile?src=search_seller_info,Агентство недвижимости,8,Документы проверены
https://www.avito.ru/moskva/kvartiry/1-k._kvartira_37_m_1317_et._3756666170,1-к. квартира,37 м²,13/17 эт.,40 000  , 40 000 ,0%,ЖКУ включены без счетчиков,"ул. Вертолётчиков, 4",Некрасовка,11–15 мин.,,,,
https://www.avito.ru/moskva/kvartiry/2-k._kvartira_539_m_617_et._3923778605,2-к. квартира,"53,9 м²",6/17 эт.,93 000  , 46 500 , 37%,ЖКУ включены без счетчиков,"ул. Шверника, 11к3",Академическая,11–15 мин.,https://www.avito.ru/user/b941150141f770da7c8f04e7ae0239fe/profile?src=search_seller_info,КБМ,191,Реквизиты проверены
https://www.avito.ru/moskva/kvartiry/2-k._kvartira_55_m_39_et._3959985786,2-к. квартира,55 м²,3/9 эт.,40 000  , 40 000 , 80%,ЖКУ 6 000 ₽ + счетчики,"Хабаровская ул., 11/28",Щёлковская,21–30 мин.,,,,
https://www.avito.ru/moskva/kvartiry/1-k._kvartira_40_m_622_et._3735270992,1-к. квартира,40 м²,6/22 эт.,42 000  , 42 000 , 80%,ЖКУ включены без счетчиков,"ул. Маршала Захарова, 8к3",Орехово,16–20 мин.,https://www.avito.ru/user/7c15f44f1e2b1cf99ee4141ed5918d5d/profile?src=search_seller_info,Каскад недвижимость,517,Реквизиты проверены
https://www.avito.ru/moskva/kvartiry/1-k._kvartira_364_m_216_et._3710825198,1-к. квартира,"36,4 м²",2/16 эт.,80 000  , 160 000 ,0%,ЖКУ включены без счетчиков,"Лётная ул., 95Бк2",Спартак,6–10 мин.,,,,
https://www.avito.ru/moskva/kvartiry/1-k._kvartira_38_m_410_et._2861184414,1-к. квартира,38 м²,4/10 эт.,35 000  ,0,0%,ЖКУ включены без счетчиков,"ул. Героев Панфиловцев, 9к3",Сходненская,6–10 мин.,,,,
https://www.avito.ru/moskva/kvartiry/1-k._kvartira_33_m_39_et._2666206382,1-к. квартира,33 м²,3/9 эт.,34 000  , 34 000 ,100%,ЖКУ включены без счетчиков,"Авангардная ул., 4",Водный стадион,6–10 мин.,https://www.avito.ru/user/68cf76cf7bb147a0c5a7acb46c2c1d50/profile?src=search_seller_info,Квартиры большого города PRO,10,Реквизиты проверены
https://www.avito.ru/moskva/kvartiry/1-k._kvartira_40_m_911_et._3404995733,1-к. квартира,40 м²,9/11 эт.,50 000  , 50 000 ,0%,ЖКУ включены без счетчиков,"Сухонская ул., 9",Медведково,11–15 мин.,,,,
https://www.avito.ru/moskva/kvartiry/1-k._kvartira_30_m_1824_et._3822977647,1-к. квартира,30 м²,18/24 эт.,40 000  , 40 000 , 50%,ЖКУ включены без счетчиков,"Жулебинский б-р, 1",Лермонтовский проспект,6–10 мин.,,,,
https://www.avito.ru/moskva/kvartiry/2-k._kvartira_57_m_816_et._4177846315,2-к. квартира,57 м²,8/16 эт.,55 000  , 55 000 , 50%,ЖКУ включены без счетчиков,"Ленинский пр-т, 129к1",Тропарёво,6–10 мин.,,,,
https://www.avito.ru/moskva/kvartiry/2-k._kvartira_59_m_47_et._4290234599,2-к. квартира,59 м²,4/7 эт.,130 000  , 130 000 ,100%,ЖКУ включены без счетчиков,"Кутузовский пр-т, 1/7",Киевская,6–10 мин.,https://www.avito.ru/user/00118fea18234181a9825877e3e637be/profile?src=search_seller_info,"""АСТ"" Недвижимость",7981,Реквизиты проверены
https://www.avito.ru/moskva/kvartiry/1-k._kvartira_32_m_25_et._1646044867,1-к. квартира,32 м²,2/5 эт.,43 000  ,,,,Залог 43 000 ₽ · Комиссия 70% · ЖКУ включены без счетчиков,"ул. Подвойского, 24",16–20 мин.,,3 часа назад,,
https://www.avito.ru/moskva/kvartiry/1-k._kvartira_39_m_1112_et._3955558315,1-к. квартира,39 м²,11/12 эт.,30 000  , 15 000 , 70%,ЖКУ 4 000 ₽ + счетчики,"Весенняя ул., 10",Селигерская,21–30 мин.,,,,
https://www.avito.ru/moskva/kvartiry/1-k._kvartira_38_m_1517_et._2542235737,1-к. квартира,38 м²,15/17 эт.,50 000  , 50 000 ,0%,ЖКУ включены без счетчиков,"ул. Гурьянова, 57к1",Печатники,21–30 мин.,https://www.avito.ru/user/4e573de2691bfd2d233b2ee7280bb997/profile?src=search_seller_info,Юлия,209,Документы проверены
https://www.avito.ru/moskva/kvartiry/3-k._kvartira_100_m_333_et._2558484425,3-к. квартира,100 м²,3/33 эт.,120 000  , 120 000 , 50%,ЖКУ включены без счетчиков,"1-й Нагатинский пр., 11к3",Нагатинская,16–20 мин.,https://www.avito.ru/user/426fe2c9c4a24ce281190a0c4af63287/profile?src=search_seller_info,Apple Real Estate,8672,Реквизиты проверены
https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_16_m_25_et._2791669453,Апартаменты-студия,16 м²,2/5 эт.,40 000  ,0, 30%,ЖКУ 2 000 ₽ + счетчики,"Гостиничный пр., 8к1",Окружная,до 5 мин.,https://www.avito.ru/user/2b369054e45f01ec3ce0c97d4b1b6175/profile?src=search_seller_info,Best Apart,108,Документы проверены
https://www.avito.ru/moskva/kvartiry/2-k._kvartira_50_m_515_et._3969964125,2-к. квартира,50 м²,5/15 эт.,85 000  ,,,,Залог 85 000 ₽ · Без комиссии · ЖКУ включены без счетчиков,"Кольская ул., 8к2",11–15 мин.,,2 часа назад,,
